No,Category,Title,question,answer
1,メリクリウス,MerQNetの画面が開けない,MerQNetの画面が開けない,回答１
2,PulseSecure,PulseSecureの不具合について,最近、テレワーク中にPulseSecureが切断される現象がでてきました。,回答２
3,ポータル,ポータルのメールボックスが開けない,"（以前もありました。）
『パスワードの残り期間は24658日です』みたいな、人を馬鹿にしたメッセージと共に切断されます。私だけでしょうか・・・",回答３
4,ポータル,ポータルトップページのリンクが正常に開けない,"全社共通→ツール集→営業支援にある、HITプロモーションというページを開きたいのですが、添付画像のようなメッセージが出て開けません。
何か解決方法があれば教えていただきたいです。",回答４
5,メール送信,動画ファイルを送る方法,社外の方へ動画ファイルを送りたいのですが、サイズが大きくそのままでは送れません。圧縮するソフトや使用してよいファイル共有サイトなどあれば教えていただきたいです。,回答５
6,設定,会社支給ipad、iphoneにslackを設定する方法,"現在iPhoneでSlackというアプリを使っていて、iPadでアカウントを同期したいと思い、やり方を調べてみたのですが見つかりませんでした。
１つのアカウントを複数端末で同期はできないのでしょうか？
もしできるとしたらそのやり方を教えていただきたいです。",回答６
7,設定,AcrobatReaderの回転機能について,AcrobatReaderの回転機能について,回答７
8,設定,UC Client再設定,UC Client再設定,回答８
9,設定,ダイレクトFAX設定方法,ダイレクトFAX設定方法,回答９
10,設定,iphoneへの機種変更について,iphoneへの機種変更について,回答１０
11,設定,メール添付のファイルを開くとエラーメッセージが出る（けど開ける）場合の対応,メール添付のファイルを開くとエラーメッセージが出る（けど開ける）場合の対応,回答１１
12,設定,テレワーク時に研究所HPをクリックすると表示される　Net Attest Security Filterについて,テレワーク時に研究所HPをクリックすると表示される　Net Attest Security Filterについて,回答１２
13,Zscaleｒ,GoogleやYahoo!、ZOOMが繋がらない,先日出張時に実践したところ、pulse secureとは違うところで引っかかって社内ネット(というかインターネット)に繋がりませんでした。,回答１３
14,他,マウスの調子が悪い,"かなり古いパソコンですが数日前まで普通に使用していたんですが急にマウスが動かなくなりました。
しかし、動かないだけでクリック等は反応します。

かなり初歩的な質問ですみません.",回答１４
15,他,ダウンロードフォルダのファイル退避,"フォルダの中身が消えている・・・。
今までそこにダウンロードした動画を一時的に保存していたのですが、
久し振りに動画の整理でもしようかとフォルダを開くと中身が無いんです。

フォルダにカーソルを当てると「フォルダは空です」と表示され、クリックしても中身はなく、
何かのエラーで消えてしまったのかと思い、諦めてフォルダごと削除しようと思ったのですが
出来ません。どうしてでしょう？

エラーメッセージ
”一時保存”を削除出来ません。ディレクトリが空ではありません。と。

CCleanerでレジストリやクリーナを実行した後で覗いてみても同じ結果。
最近変わったことをしたといえば、日曜日にウィルスセキュリティを無期限のにインストールして失敗。で、
アンインストールして入れなおしの繰り返し、バージョンアップしたり、デフラグを
実行したくらいです。

どなかた対処法教えて下さい。",回答１５
